amfi_code,scheme_name,risk_category,rolling_sharpe_90
120507,ICICI Pru Liquid Fund - Regular - Growth,Low,13.558546424833544
120844,Kotak Liquid Fund - Regular - Growth,Low,12.47817793509701
101208,ABSL Liquid Fund - Regular - Growth,Low,11.995641778368872
120843,Kotak Flexicap Fund - Regular - Growth,Moderately High,1.9976919615427466
148567,Mirae Asset Large Cap Fund - Regular - Growth,Moderate,1.890422392876565
119551,SBI Bluechip Fund - Regular Plan - Growth,Moderate,1.72778824324467
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,High,1.586153811417228
120504,ICICI Pru Bluechip Fund - Direct - Growth,Moderate,1.5614285819685045
149323,DSP Midcap Fund - Regular - Growth,High,1.5449974048131225
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Low,1.5291469534951136
101206,ABSL Frontline Equity Fund - Regular - Growth,Moderate,1.4846477983767792
119552,SBI Bluechip Fund - Direct Plan - Growth,Moderate,1.4800148326932299
148569,Mirae Asset Tax Saver Fund - Regular - Growth,High,1.4172426943076517
102885,UTI Nifty 50 Index Fund - Regular - Growth,Moderate,1.41691077122956
118632,Nippon India Large Cap Fund - Regular - Growth,Moderate,1.4023353688923805
120505,ICICI Pru Midcap Fund - Regular - Growth,High,1.386451952052047
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Moderately High,1.3853251921356802
119094,Axis Midcap Fund - Regular - Growth,High,1.3492192331740598
125497,HDFC Top 100 Fund - Direct Plan - Growth,Moderate,1.3100752046983941
118635,Nippon India ETF Nifty 50 BeES,Moderate,1.3005301732603523
149324,DSP Small Cap Fund - Regular - Growth,Very High,1.2434313801912988
102887,UTI Flexi Cap Fund - Regular - Growth,Moderately High,1.2257728482278338
149322,DSP Top 100 Equity Fund - Regular - Growth,Moderate,1.1445976970624785
100025,HDFC Short Term Debt Fund - Regular - Growth,Low,1.1255021088620434
118636,Nippon India Gilt Securities Fund - Regular - Growth,Low,1.1004068544121282
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Moderately High,1.0455496499450485
118633,Nippon India Large Cap Fund - Direct - Growth,Moderate,1.0420168752850658
120503,ICICI Pru Bluechip Fund - Regular - Growth,Moderate,1.0402872714962004
119598,SBI Small Cap Fund - Regular Plan - Growth,Very High,1.0092689776217145
120841,Kotak Bluechip Fund - Regular - Growth,Moderate,0.9714285516819878
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,High,0.7576790429574991
118634,Nippon India Small Cap Fund - Regular - Growth,Very High,0.672271831401728
119092,Axis Bluechip Fund - Regular - Growth,Moderate,0.617368981119107
119093,Axis Bluechip Fund - Direct - Growth,Moderate,0.5520130127434848
101207,ABSL Small Cap Fund - Regular - Growth,Very High,0.4162049654611551
119095,Axis Small Cap Fund - Regular - Growth,Very High,0.3446389334069017
100016,HDFC Top 100 Fund - Regular Plan - Growth,Moderate,0.3375070526411411
120842,Kotak Emerging Equity Fund - Regular - Growth,High,0.22282480707719507
102886,UTI Mid Cap Fund - Regular - Growth,High,0.15481540211195494
119599,SBI Small Cap Fund - Direct Plan - Growth,Very High,0.1325162095088362
