amfi_code,scheme_name,category,sub_category,risk_category,observations,VaR_95,CVaR_95,VaR_95_pct,CVaR_95_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Moderate,1149,-0.014363639988111142,-0.01806020763217176,-1.4363639988111143,-1.806020763217176
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Low,1149,-0.003793246199522682,-0.004993763020560281,-0.3793246199522682,-0.4993763020560281
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,High,1149,-0.019033535861558825,-0.023455762770703794,-1.9033535861558826,-2.3455762770703794
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap,Moderate,1149,-0.013281661986281489,-0.017439425687129195,-1.328166198628149,-1.7439425687129195
101207,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap,Very High,1149,-0.026021248221061066,-0.03245905898704435,-2.6021248221061066,-3.245905898704435
101208,ABSL Liquid Fund - Regular - Growth,Debt,Liquid,Low,1149,-0.0002686575130400159,-0.0004220820655857685,-0.02686575130400159,-0.04220820655857685
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index,Moderate,1149,-0.01261262882069356,-0.01549040525311211,-1.261262882069356,-1.549040525311211
102886,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap,High,1149,-0.01922028344426503,-0.023250860269221213,-1.922028344426503,-2.325086026922121
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap,Moderately High,1149,-0.015231617279157872,-0.019411182679158694,-1.5231617279157872,-1.9411182679158694
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Moderate,1149,-0.013954045870018117,-0.017618579320162156,-1.3954045870018117,-1.7618579320162155
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap,Moderate,1149,-0.013442525143024242,-0.016630178254004827,-1.3442525143024242,-1.6630178254004826
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap,Very High,1149,-0.025438111458963106,-0.032304072697818535,-2.543811145896311,-3.2304072697818533
118635,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF,Moderate,1149,-0.012553697284754662,-0.01617696049480912,-1.2553697284754661,-1.617696049480912
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Gilt,Low,1149,-0.003804146068944347,-0.004918918420478294,-0.38041460689443474,-0.49189184204782943
119092,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Moderate,1149,-0.013749592076363814,-0.017327870956436054,-1.3749592076363815,-1.7327870956436053
119093,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Moderate,1149,-0.014225516634796053,-0.01748670974901306,-1.4225516634796054,-1.7486709749013059
119094,Axis Midcap Fund - Regular - Growth,Equity,Mid Cap,High,1149,-0.018480276243938307,-0.02426005947837057,-1.8480276243938307,-2.426005947837057
119095,Axis Small Cap Fund - Regular - Growth,Equity,Small Cap,Very High,1149,-0.02618842440959035,-0.03166729360598028,-2.618842440959035,-3.166729360598028
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,Low,1149,-0.003938283121850805,-0.005013693153022244,-0.3938283121850805,-0.5013693153022244
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Moderate,1149,-0.012846228628842571,-0.01639680693408763,-1.284622862884257,-1.639680693408763
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,Moderate,1149,-0.013500970479935082,-0.017335699664199813,-1.3500970479935082,-1.7335699664199813
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,Very High,1149,-0.0245070519056771,-0.03059526410880242,-2.45070519056771,-3.059526410880242
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,Very High,1149,-0.02685943514961382,-0.03238412245049217,-2.685943514961382,-3.238412245049217
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap,Moderate,1149,-0.01355001716250348,-0.01745055416552432,-1.355001716250348,-1.745055416552432
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap,Moderate,1149,-0.013728193295939772,-0.017494143685606606,-1.3728193295939772,-1.7494143685606607
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap,High,1149,-0.01889178619869274,-0.02434207039551981,-1.889178619869274,-2.434207039551981
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value,Moderately High,1149,-0.014388462899080912,-0.01940489860249691,-1.4388462899080912,-1.940489860249691
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,Liquid,Low,1149,-0.00022157351389344714,-0.00037258039979649643,-0.022157351389344715,-0.037258039979649646
120841,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap,Moderate,1149,-0.013141782186804063,-0.01636273661834337,-1.3141782186804063,-1.636273661834337
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap,High,1149,-0.01821853045255608,-0.02272497526268088,-1.8218530452556079,-2.2724975262680878
120843,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap,Moderately High,1149,-0.014507941385630474,-0.018381077688017156,-1.4507941385630474,-1.8381077688017156
120844,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Low,1149,-0.00028479272823556107,-0.00041099591933232505,-0.028479272823556105,-0.0410995919332325
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,Moderate,1149,-0.014591769071140459,-0.018309885328057912,-1.459176907114046,-1.830988532805791
